Batch Number,Batch Size,Feature Noised,Accuracy,Noise Std Dev,Initial Perm Importance Mean,Initial Perm Importance Std Dev,RF Feature Importance,Importance Ratio,Importance Difference,Accuracy Ratio
Baseline,5,N/A,0.9712,0.0,0.0,0.0,1.0,0,0.0,1.0
0,5,Higher Variance Majority 1,0.9737599999999998,0.25,0.007295999999999952,0.003960250497127671,0.06850843028410417,0.8317814178918425,0.011524391004847562,1.002635914332784
0,5,Higher Variance Majority 1,0.9747199999999999,0.5,0.007295999999999952,0.003960250497127671,0.06850843028410417,0.5968880112019813,0.02761656958125564,1.0036243822075783
0,5,Higher Variance Majority 1,0.9747199999999999,1.0,0.007295999999999952,0.003960250497127671,0.06850843028410417,0.4471812244697954,0.03787274654315485,1.0036243822075783
0,5,Higher Variance Majority 1,0.9732799999999999,2.0,0.007295999999999952,0.003960250497127671,0.06850843028410417,0.40722138258414436,0.0406103325851418,1.002141680395387
0,5,Higher Variance Minority 2,0.9711999999999998,0.25,0.05206399999999996,0.005884955734752814,0.4480536603198934,1.0562921530946672,-0.025221905241353426,0.9999999999999999
0,5,Higher Variance Minority 2,0.97072,0.5,0.05206399999999996,0.005884955734752814,0.4480536603198934,0.9417916225990857,0.026080476555761456,0.999505766062603
0,5,Higher Variance Minority 2,0.96608,1.0,0.05206399999999996,0.005884955734752814,0.4480536603198934,0.6040087030423525,0.1774253500566958,0.9947281713344317
0,5,Higher Variance Minority 2,0.95648,2.0,0.05206399999999996,0.005884955734752814,0.4480536603198934,0.25290894555159205,0.33473688153785797,0.984843492586491
0,5,0.25 Std. Dev. Noise,0.9739199999999999,0.25,-0.0010240000000000338,0.0008914168497397961,0.014914795291896678,1.3485359818203753,-0.005198342820711119,1.0028006589785832
0,5,0.25 Std. Dev. Noise,0.9735999999999999,0.5,-0.0010240000000000338,0.0008914168497397961,0.014914795291896678,1.390987049461436,-0.005831491804499999,1.002471169686985
0,5,0.25 Std. Dev. Noise,0.97424,1.0,-0.0010240000000000338,0.0008914168497397961,0.014914795291896678,1.4346910084844793,-0.006483327406774132,1.0031301482701813
0,5,0.25 Std. Dev. Noise,0.9739199999999999,2.0,-0.0010240000000000338,0.0008914168497397961,0.014914795291896678,1.493750319962561,-0.007364184947550083,1.0028006589785832
0,5,Higher Variance Majority 2,0.9737599999999998,0.25,0.04118399999999995,0.006478004631057323,0.15913238288819526,0.5295933720208736,0.07485692763671917,1.002635914332784
0,5,Higher Variance Majority 2,0.9727999999999998,0.5,0.04118399999999995,0.006478004631057323,0.15913238288819526,0.4366700943488878,0.0896440302384437,1.0016474464579899
0,5,Higher Variance Majority 2,0.97008,1.0,0.04118399999999995,0.006478004631057323,0.15913238288819526,0.30968510886594225,0.10985145356936771,0.998846787479407
0,5,Higher Variance Majority 2,0.96736,2.0,0.04118399999999995,0.006478004631057323,0.15913238288819526,0.22629428827935427,0.12312163356031341,0.9960461285008237
0,5,Higher Variance Minority 1,0.97728,0.25,0.01785599999999995,0.0038845416718063415,0.3093907312159106,0.9708801086293496,0.00900942448409342,1.0062602965403624
0,5,Higher Variance Minority 1,0.97568,0.5,0.01785599999999995,0.0038845416718063415,0.3093907312159106,0.8276361290211306,0.053327784077357276,1.0046128500823723
0,5,Higher Variance Minority 1,0.9726400000000002,1.0,0.01785599999999995,0.0038845416718063415,0.3093907312159106,0.5166269120490697,0.149551153131231,1.0014827018121912
0,5,Higher Variance Minority 1,0.96336,2.0,0.01785599999999995,0.0038845416718063415,0.3093907312159106,0.24050754724623985,0.23497992531045128,0.9919275123558485
Baseline,5,N/A,0.9632,0.0,0.0,0.0,1.0,0,0.0,1.0
1,5,Higher Variance Minority 1,0.9625599999999999,0.25,0.05542399999999994,0.005107584947898566,0.5018201658229805,0.8749016556112869,0.06277687192532433,0.9993355481727574
1,5,Higher Variance Minority 1,0.96208,0.5,0.05542399999999994,0.005107584947898566,0.5018201658229805,0.7450804057845725,0.12792379304071277,0.9988372093023257
1,5,Higher Variance Minority 1,0.95312,1.0,0.05542399999999994,0.005107584947898566,0.5018201658229805,0.5480869796266541,0.22677906682131643,0.9895348837209302
1,5,Higher Variance Minority 1,0.94176,2.0,0.05542399999999994,0.005107584947898566,0.5018201658229805,0.3203988759107367,0.3410375487839581,0.9777408637873756
1,5,0.50 Std. Dev. Noise,0.9604799999999999,0.25,3.199999999996539e-05,0.0023621549483469604,0.07021962559900348,0.7894385882690774,0.014785543497343005,0.9971760797342192
1,5,0.50 Std. Dev. Noise,0.96112,0.5,3.199999999996539e-05,0.0023621549483469604,0.07021962559900348,0.7951164294302898,0.014386847616792056,0.9978405315614618
1,5,0.50 Std. Dev. Noise,0.9612799999999998,1.0,3.199999999996539e-05,0.0023621549483469604,0.07021962559900348,0.8249129541132545,0.012294546809402812,0.9980066445182723
1,5,0.50 Std. Dev. Noise,0.9606399999999999,2.0,3.199999999996539e-05,0.0023621549483469604,0.07021962559900348,0.8175179742058607,0.012813819529812157,0.9973421926910299
1,5,Higher Variance Minority 3,0.9606399999999999,0.25,0.030271999999999934,0.004409037990310355,0.33816957172813333,0.9856287466858015,0.0048599205784590205,0.9973421926910299
1,5,Higher Variance Minority 3,0.9571200000000001,0.5,0.030271999999999934,0.004409037990310355,0.33816957172813333,0.8674471201861338,0.04482535059798587,0.9936877076411962
1,5,Higher Variance Minority 3,0.9524800000000001,1.0,0.030271999999999934,0.004409037990310355,0.33816957172813333,0.5997524886004851,0.1353515295152251,0.9888704318936878
1,5,Higher Variance Minority 3,0.9494399999999998,2.0,0.030271999999999934,0.004409037990310355,0.33816957172813333,0.3596183024239342,0.21655760441183317,0.9857142857142857
1,5,Constant,0.9616000000000001,0.25,0.0,0.0,0.0,Infinity,-0.04522205956258003,0.9983388704318938
1,5,Constant,0.9616000000000001,0.5,0.0,0.0,0.0,Infinity,-0.04522205956258003,0.9983388704318938
1,5,Constant,0.9616000000000001,1.0,0.0,0.0,0.0,Infinity,-0.04522205956258003,0.9983388704318938
1,5,Constant,0.9616000000000001,2.0,0.0,0.0,0.0,Infinity,-0.04522205956258003,0.9983388704318938
1,5,Higher Variance Majority 3,0.9607999999999999,0.25,0.02083199999999995,0.004805223824131401,0.08979063684988269,1.0796002201032264,-0.0071473544564595315,0.9975083056478404
1,5,Higher Variance Majority 3,0.9587200000000001,0.5,0.02083199999999995,0.004805223824131401,0.08979063684988269,0.9144160104278058,0.007684640927841033,0.9953488372093026
1,5,Higher Variance Majority 3,0.95488,1.0,0.02083199999999995,0.004805223824131401,0.08979063684988269,0.822957950032281,0.015896718415810238,0.9913621262458472
1,5,Higher Variance Majority 3,0.95504,2.0,0.02083199999999995,0.004805223824131401,0.08979063684988269,0.7263814122345132,0.024568387249428572,0.9915282392026579
Baseline,5,N/A,0.9712,0.0,0.0,0.0,1.0,0,0.0,1.0
2,5,Higher Variance Minority 1,0.97488,0.25,0.03436799999999995,0.0047489552535268185,0.36163283830683596,0.766570836812478,0.08441565082709318,1.0037891268533772
2,5,Higher Variance Minority 1,0.9734399999999999,0.5,0.03436799999999995,0.0047489552535268185,0.36163283830683596,0.6663727273933255,0.12065057752932018,1.0023064250411862
2,5,Higher Variance Minority 1,0.9705600000000001,1.0,0.03436799999999995,0.0047489552535268185,0.36163283830683596,0.4425346773099334,0.20159776690204498,0.9993410214168041
2,5,Higher Variance Minority 1,0.96272,2.0,0.03436799999999995,0.0047489552535268185,0.36163283830683596,0.2182954377560636,0.28269003956167743,0.9912685337726524
2,5,Higher Variance Minority 2,0.9729599999999999,0.25,0.05644799999999996,0.005306985585056734,0.44373459203998467,1.0898666059930524,-0.03987692174834512,1.0018121911037892
2,5,Higher Variance Minority 2,0.9703999999999999,0.5,0.05644799999999996,0.005306985585056734,0.44373459203998467,0.9648763816922213,0.015585564440770305,0.999176276771005
2,5,Higher Variance Minority 2,0.9646399999999999,1.0,0.05644799999999996,0.005306985585056734,0.44373459203998467,0.6392953736919847,0.16005712020172225,0.9932454695222405
2,5,Higher Variance Minority 2,0.9560000000000001,2.0,0.05644799999999996,0.005306985585056734,0.44373459203998467,0.2879602826777039,0.3159566534822751,0.9843492586490941
2,5,Higher Variance Majority 2,0.9724799999999998,0.25,0.03356799999999995,0.005629544919440635,0.1056855560371955,0.8953130588867481,0.011063897581387178,1.001317957166392
2,5,Higher Variance Majority 2,0.9715199999999999,0.5,0.03356799999999995,0.005629544919440635,0.1056855560371955,0.6940972027589489,0.03232950721975396,1.000329489291598
2,5,Higher Variance Majority 2,0.96784,1.0,0.03356799999999995,0.005629544919440635,0.1056855560371955,0.4843928932737513,0.054492223771093196,0.9965403624382209
2,5,Higher Variance Majority 2,0.96448,2.0,0.03356799999999995,0.005629544919440635,0.1056855560371955,0.34072204072600404,0.06967615770893978,0.9930807248764416
2,5,Equal Variance (High),0.9743999999999999,0.25,0.0008959999999999634,0.0023331489450954426,0.05972613413107378,1.0171078124121056,-0.0010217834988146685,1.0032948929159802
2,5,Equal Variance (High),0.9724799999999998,0.5,0.0008959999999999634,0.0023331489450954426,0.05972613413107378,0.9602529761506656,0.0023739360777363314,1.001317957166392
2,5,Equal Variance (High),0.9751999999999998,1.0,0.0008959999999999634,0.0023331489450954426,0.05972613413107378,0.7461065837833326,0.015164072231953221,1.004118616144975
2,5,Equal Variance (High),0.9737599999999998,2.0,0.0008959999999999634,0.0023331489450954426,0.05972613413107378,0.601790377379279,0.023783521332929457,1.002635914332784
2,5,0.25 Std. Dev. Noise,0.9740799999999998,0.25,-0.0002240000000000264,0.0012803999375195292,0.0292208794849102,0.9023497390922018,0.0028534265056568073,1.002965403624382
2,5,0.25 Std. Dev. Noise,0.97488,0.5,-0.0002240000000000264,0.0012803999375195292,0.0292208794849102,0.8467118606908638,0.004479214245218396,1.0037891268533772
2,5,0.25 Std. Dev. Noise,0.9750399999999999,1.0,-0.0002240000000000264,0.0012803999375195292,0.0292208794849102,0.8325693823105776,0.004892469901586684,1.0039538714991763
2,5,0.25 Std. Dev. Noise,0.9750399999999999,2.0,-0.0002240000000000264,0.0012803999375195292,0.0292208794849102,0.9067194990705931,0.0027257382759502506,1.0039538714991763
Baseline,5,N/A,0.9904,0.0,0.0,0.0,1.0,0,0.0,1.0
3,5,2.00 Std. Dev. Noise,0.9900800000000001,0.25,-0.0006400000000000184,0.0007838367176906394,0.01928859174332661,1.0286839570553443,-0.0005532731372236491,0.9996768982229404
3,5,2.00 Std. Dev. Noise,0.9913599999999999,0.5,-0.0006400000000000184,0.0007838367176906394,0.01928859174332661,1.0133281562241057,-0.0002570813640980496,1.0009693053311792
3,5,2.00 Std. Dev. Noise,0.99056,1.0,-0.0006400000000000184,0.0007838367176906394,0.01928859174332661,1.0237028607023335,-0.00045719480323625286,1.00016155088853
