Trial Number,Batch Size,Feature Noised,Accuracy,Noise Std Dev,Feature Importance,Importance Ratio,Importance Difference,Accuracy Difference,Accuracy Ratio
0,1,Baseline,0.9024,0.0,0.0,1,0.0,0.0,1.0
0,1,Constant,0.9023999999999999,0.125,0.0,Infinity,-1.0,1.1102230246251565e-16,0.9999999999999999
0,1,Constant,0.9023999999999999,0.25,0.0,Infinity,-1.0,1.1102230246251565e-16,0.9999999999999999
0,1,Constant,0.9023999999999999,0.5,0.0,Infinity,-1.0,1.1102230246251565e-16,0.9999999999999999
0,1,Constant,0.9023999999999999,0.75,0.0,Infinity,-1.0,1.1102230246251565e-16,0.9999999999999999
0,1,Constant,0.9023999999999999,1.0,0.0,Infinity,-1.0,1.1102230246251565e-16,0.9999999999999999
0,1,Constant,0.9023999999999999,2.0,0.0,Infinity,-1.0,1.1102230246251565e-16,0.9999999999999999
0,1,Constant,0.9023999999999999,4.0,0.0,Infinity,-1.0,1.1102230246251565e-16,0.9999999999999999
1,1,Baseline,0.9448,0.0,0.0,1,0.0,0.0,1.0
1,1,Dirty Important Feature,0.93876,0.125,1.0,1.0,0.0,0.006039999999999934,0.9936071126164269
1,1,Dirty Important Feature,0.94436,0.25,1.0,1.0,0.0,0.00043999999999999595,0.9995342929720575
1,1,Dirty Important Feature,0.94256,0.5,1.0,1.0,0.0,0.0022400000000000198,0.9976291278577476
1,1,Dirty Important Feature,0.9312800000000001,0.75,1.0,1.0,0.0,0.013519999999999865,0.9856900931414058
1,1,Dirty Important Feature,0.9265999999999999,1.0,1.0,1.0,0.0,0.018200000000000105,0.9807366638441998
1,1,Dirty Important Feature,0.9028,2.0,1.0,1.0,0.0,0.041999999999999926,0.9555461473327689
1,1,Dirty Important Feature,0.8929999999999996,4.0,1.0,1.0,0.0,0.0518000000000004,0.9451735817104144
2,1,Baseline,0.9056,0.0,0.0,1,0.0,0.0,1.0
2,1,Clean Important Feature w/ Lower Variance,0.90492,0.125,1.0,1.0,0.0,0.0006800000000000139,0.9992491166077738
2,1,Clean Important Feature w/ Lower Variance,0.9007599999999998,0.25,1.0,1.0,0.0,0.0048400000000001775,0.9946554770318019
2,1,Clean Important Feature w/ Lower Variance,0.9054800000000001,0.5,1.0,1.0,0.0,0.00011999999999989797,0.9998674911660779
2,1,Clean Important Feature w/ Lower Variance,0.913,0.75,1.0,1.0,0.0,-0.007400000000000073,1.0081713780918728
2,1,Clean Important Feature w/ Lower Variance,0.914,1.0,1.0,1.0,0.0,-0.008400000000000074,1.0092756183745584
2,1,Clean Important Feature w/ Lower Variance,0.9055199999999999,2.0,1.0,1.0,0.0,8.000000000008001e-05,0.999911660777385
2,1,Clean Important Feature w/ Lower Variance,0.9083599999999998,4.0,1.0,1.0,0.0,-0.0027599999999998737,1.0030477031802119
3,1,Baseline,0.9112,0.0,0.0,1,0.0,0.0,1.0
3,1,Clean Important Feature w/ Lower Variance,0.89788,0.125,1.0,1.0,0.0,0.013319999999999999,0.9853819139596137
3,1,Clean Important Feature w/ Lower Variance,0.9055200000000001,0.25,1.0,1.0,0.0,0.005679999999999907,0.9937664618086042
3,1,Clean Important Feature w/ Lower Variance,0.9049999999999999,0.5,1.0,1.0,0.0,0.006200000000000094,0.9931957857769973
3,1,Clean Important Feature w/ Lower Variance,0.8870399999999998,0.75,1.0,1.0,0.0,0.02416000000000018,0.9734855136084283
3,1,Clean Important Feature w/ Lower Variance,0.8949199999999997,1.0,1.0,1.0,0.0,0.016280000000000294,0.982133450395083
3,1,Clean Important Feature w/ Lower Variance,0.8842399999999999,2.0,1.0,1.0,0.0,0.026960000000000095,0.9704126426690078
3,1,Clean Important Feature w/ Lower Variance,0.8859999999999999,4.0,1.0,1.0,0.0,0.02520000000000011,0.972344161545215
4,1,Baseline,0.9344,0.0,0.0,1,0.0,0.0,1.0
4,1,Dirty Important Feature,0.9368399999999998,0.125,1.0,1.0,0.0,-0.0024399999999997757,1.0026113013698628
4,1,Dirty Important Feature,0.94156,0.25,1.0,1.0,0.0,-0.007159999999999944,1.0076626712328767
4,1,Dirty Important Feature,0.9383999999999999,0.5,1.0,1.0,0.0,-0.0039999999999998925,1.004280821917808
4,1,Dirty Important Feature,0.9281999999999998,0.75,1.0,1.0,0.0,0.006200000000000205,0.993364726027397
4,1,Dirty Important Feature,0.9160400000000001,1.0,1.0,1.0,0.0,0.018359999999999932,0.9803510273972603
4,1,Dirty Important Feature,0.8920799999999998,2.0,1.0,1.0,0.0,0.042320000000000246,0.9547089041095888
4,1,Dirty Important Feature,0.8853600000000001,4.0,1.0,1.0,0.0,0.04903999999999986,0.9475171232876713
5,1,Baseline,0.8976,0.0,0.0,1,0.0,0.0,1.0
5,1,Noise,0.9008799999999999,0.125,1.0,1.0,0.0,-0.0032799999999999496,1.0036541889483066
5,1,Noise,0.9067999999999998,0.25,1.0,1.0,0.0,-0.009199999999999875,1.0102495543672012
5,1,Noise,0.89168,0.5,1.0,1.0,0.0,0.005919999999999925,0.9934046345811053
5,1,Noise,0.9067200000000002,0.75,1.0,1.0,0.0,-0.009120000000000239,1.010160427807487
5,1,Noise,0.9048000000000002,1.0,1.0,1.0,0.0,-0.007200000000000206,1.0080213903743318
5,1,Noise,0.90968,2.0,1.0,1.0,0.0,-0.01208000000000009,1.0134581105169342
5,1,Noise,0.9103200000000001,4.0,1.0,1.0,0.0,-0.012720000000000176,1.0141711229946526
6,1,Baseline,0.928,0.0,0.0,1,0.0,0.0,1.0
6,1,Dirty Important Feature,0.93536,0.125,1.0,1.0,0.0,-0.007359999999999922,1.0079310344827586
6,1,Dirty Important Feature,0.9385199999999999,0.25,1.0,1.0,0.0,-0.010519999999999863,1.0113362068965517
6,1,Dirty Important Feature,0.9318800000000003,0.5,1.0,1.0,0.0,-0.0038800000000002166,1.0041810344827589
6,1,Dirty Important Feature,0.9245999999999999,0.75,1.0,1.0,0.0,0.0034000000000001807,0.9963362068965516
6,1,Dirty Important Feature,0.9164,1.0,1.0,1.0,0.0,0.011600000000000055,0.9874999999999999
6,1,Dirty Important Feature,0.9002399999999999,2.0,1.0,1.0,0.0,0.027760000000000118,0.9700862068965516
6,1,Dirty Important Feature,0.8973600000000002,4.0,1.0,1.0,0.0,0.03063999999999989,0.9669827586206898
7,1,Baseline,0.9056,0.0,0.0,1,0.0,0.0,1.0
7,1,Clean Important Feature w/ Lower Variance,0.90492,0.125,1.0,1.0,0.0,0.0006800000000000139,0.9992491166077738
7,1,Clean Important Feature w/ Lower Variance,0.9007599999999998,0.25,1.0,1.0,0.0,0.0048400000000001775,0.9946554770318019
7,1,Clean Important Feature w/ Lower Variance,0.9054800000000001,0.5,1.0,1.0,0.0,0.00011999999999989797,0.9998674911660779
7,1,Clean Important Feature w/ Lower Variance,0.913,0.75,1.0,1.0,0.0,-0.007400000000000073,1.0081713780918728
7,1,Clean Important Feature w/ Lower Variance,0.914,1.0,1.0,1.0,0.0,-0.008400000000000074,1.0092756183745584
7,1,Clean Important Feature w/ Lower Variance,0.9055199999999999,2.0,1.0,1.0,0.0,8.000000000008001e-05,0.999911660777385
7,1,Clean Important Feature w/ Lower Variance,0.9083599999999998,4.0,1.0,1.0,0.0,-0.0027599999999998737,1.0030477031802119
8,1,Baseline,0.904,0.0,0.0,1,0.0,0.0,1.0
8,1,Constant,0.9040000000000001,0.125,0.0,Infinity,-1.0,-1.1102230246251565e-16,1.0000000000000002
8,1,Constant,0.9040000000000001,0.25,0.0,Infinity,-1.0,-1.1102230246251565e-16,1.0000000000000002
8,1,Constant,0.9040000000000001,0.5,0.0,Infinity,-1.0,-1.1102230246251565e-16,1.0000000000000002
8,1,Constant,0.9040000000000001,0.75,0.0,Infinity,-1.0,-1.1102230246251565e-16,1.0000000000000002
8,1,Constant,0.9040000000000001,1.0,0.0,Infinity,-1.0,-1.1102230246251565e-16,1.0000000000000002
8,1,Constant,0.9040000000000001,2.0,0.0,Infinity,-1.0,-1.1102230246251565e-16,1.0000000000000002
8,1,Constant,0.9040000000000001,4.0,0.0,Infinity,-1.0,-1.1102230246251565e-16,1.0000000000000002
9,1,Baseline,0.8624,0.0,0.0,1,0.0,0.0,1.0
9,1,Dirty Important Feature Reversed,0.8763200000000001,0.125,1.0,1.0,0.0,-0.013920000000000043,1.0161410018552877
9,1,Dirty Important Feature Reversed,0.87808,0.25,1.0,1.0,0.0,-0.015679999999999916,1.018181818181818
