Batch Number,Batch Size,Feature Noised,Accuracy,Noise Std Dev,Initial Perm Importance Mean,Initial Perm Importance Std Dev,RF Feature Importance,Importance Ratio,Importance Difference,Accuracy Ratio
Baseline,5,N/A,0.952076677316294,0.0,0.0,0.0,1.0,0,0.0,1.0
0,5,0.50 Std. Dev. Noise,0.9549520766773163,0.25,-0.008626198083067027,0.004529535744012084,0.03570825946546817,0.8019219622907925,0.0070730219649311685,1.003020134228188
0,5,0.50 Std. Dev. Noise,0.9533546325878595,0.5,-0.008626198083067027,0.004529535744012084,0.03570825946546817,0.8411127781074045,0.005673586145088214,1.0013422818791946
0,5,0.50 Std. Dev. Noise,0.9562300319488817,1.0,-0.008626198083067027,0.004529535744012084,0.03570825946546817,0.9533749819588282,0.0016648982417962963,1.0043624161073823
0,5,0.50 Std. Dev. Noise,0.9549520766773163,2.0,-0.008626198083067027,0.004529535744012084,0.03570825946546817,0.9283817393185345,0.002557363434879306,1.003020134228188
0,5,Higher Variance Minority 1,0.9492012779552714,0.25,0.06581469648562305,0.010062629870941604,0.28872157343398275,1.1247894003112906,-0.03602939200575894,0.9969798657718119
0,5,Higher Variance Minority 1,0.944408945686901,0.5,0.06581469648562305,0.010062629870941604,0.28872157343398275,0.8654255877135628,0.03885453605929365,0.9919463087248322
0,5,Higher Variance Minority 1,0.9300319488817891,1.0,0.06581469648562305,0.010062629870941604,0.28872157343398275,0.49476145915328135,0.14587326647275417,0.9768456375838925
0,5,Higher Variance Minority 1,0.9223642172523961,2.0,0.06581469648562305,0.010062629870941604,0.28872157343398275,0.2750212633660916,0.20931700154712302,0.9687919463087248
0,5,Higher Variance Majority 2,0.9460063897763578,0.25,0.06530351437699684,0.010637778285830936,0.25340585165620066,0.5868500984278975,0.1046946026695541,0.9936241610738253
0,5,Higher Variance Majority 2,0.9431309904153353,0.5,0.06530351437699684,0.010637778285830936,0.25340585165620066,0.420967547555458,0.14673021174828765,0.9906040268456374
0,5,Higher Variance Majority 2,0.9373801916932909,1.0,0.06530351437699684,0.010637778285830936,0.25340585165620066,0.2623955985288199,0.18691327154016654,0.9845637583892619
0,5,Higher Variance Majority 2,0.9370607028753992,2.0,0.06530351437699684,0.010637778285830936,0.25340585165620066,0.21238989928910187,0.1995850083436711,0.9842281879194629
0,5,Higher Variance Minority 3,0.9523961661341852,0.25,0.10319488817891376,0.010148485734356935,0.28152222222210777,0.9199272902441126,0.022542247189823283,1.0003355704697985
0,5,Higher Variance Minority 3,0.9456869009584665,0.5,0.10319488817891376,0.010148485734356935,0.28152222222210777,0.7264345757747733,0.07701474615101944,0.9932885906040269
