Trial Number,Batch Size,Feature Noised,Accuracy,Noise Std Dev,Feature Importance,Importance Ratio,Importance Difference,Accuracy Difference,Accuracy Ratio
0,3,Baseline,0.944,0.0,0.0,1,0.0,0.0,1.0
0,3,Dirty Important Feature,0.9418909090909091,0.125,0.6570359229745492,0.8827401128272793,0.07704395819642007,0.0021090909090908383,0.9977657935285055
0,3,Dirty Important Feature,0.9429090909090908,0.25,0.6570359229745492,0.8708414969249445,0.08486177627793023,0.0010909090909091423,0.99884437596302
0,3,Dirty Important Feature,0.9370909090909091,0.5,0.6570359229745492,0.8301551044502649,0.11159419771003609,0.006909090909090865,0.9926810477657936
0,3,Dirty Important Feature,0.9328,0.75,0.6570359229745492,0.7917590782312449,0.13682176623540487,0.011199999999999988,0.988135593220339
0,3,Dirty Important Feature,0.9262545454545454,1.0,0.6570359229745492,0.7500826359347534,0.1642046859659757,0.01774545454545451,0.9812018489984592
0,3,Dirty Important Feature,0.9071999999999999,2.0,0.6570359229745492,0.6317981655467031,0.2419218321409441,0.036800000000000055,0.9610169491525423
0,3,Dirty Important Feature,0.8949090909090909,4.0,0.6570359229745492,0.5781960000412902,0.27714038042722755,0.049090909090909074,0.9479969183359014
0,3,Constant,0.9456727272727274,0.125,0.0,Infinity,-0.14415746904601856,-0.0016727272727274922,1.001771956856703
0,3,Constant,0.9456727272727274,0.25,0.0,Infinity,-0.14415746904601856,-0.0016727272727274922,1.001771956856703
0,3,Constant,0.9456727272727274,0.5,0.0,Infinity,-0.14415746904601856,-0.0016727272727274922,1.001771956856703
0,3,Constant,0.9456727272727274,0.75,0.0,Infinity,-0.14415746904601856,-0.0016727272727274922,1.001771956856703
0,3,Constant,0.9456727272727274,1.0,0.0,Infinity,-0.14415746904601856,-0.0016727272727274922,1.001771956856703
0,3,Constant,0.9456727272727274,2.0,0.0,Infinity,-0.14415746904601856,-0.0016727272727274922,1.001771956856703
0,3,Constant,0.9456727272727274,4.0,0.0,Infinity,-0.14415746904601856,-0.0016727272727274922,1.001771956856703
0,3,Dirty Important Feature Reversed,0.9429090909090908,0.125,0.34296407702545084,1.1856669202266226,-0.06367708392968163,0.0010909090909091423,0.99884437596302
0,3,Dirty Important Feature Reversed,0.9392727272727273,0.25,0.34296407702545084,1.1527663418623026,-0.05239336743735912,0.004727272727272691,0.9949922958397535
0,3,Dirty Important Feature Reversed,0.9449454545454546,0.5,0.34296407702545084,1.062422547193394,-0.021408691283759995,-0.0009454545454546937,1.0010015408320494
0,3,Dirty Important Feature Reversed,0.9444363636363636,0.75,0.34296407702545084,0.9964378354607623,0.0012216944734124713,-0.00043636363636367914,1.0004622496147921
0,3,Dirty Important Feature Reversed,0.9421818181818182,1.0,0.34296407702545084,0.9386944772787933,0.021025592016641448,0.0018181818181817189,0.9980739599383668
0,3,Dirty Important Feature Reversed,0.9421090909090907,2.0,0.34296407702545084,0.8421032829265166,0.05415290183645599,0.0018909090909092763,0.9979969183359012
0,3,Dirty Important Feature Reversed,0.9404363636363635,4.0,0.34296407702545084,0.8242652195700723,0.06027071677142043,0.0035636363636364354,0.9962249614791987
1,3,Baseline,0.9883636363636363,0.0,0.0,1,0.0,0.0,1.0
1,3,Dirty Important Feature Reversed,0.9885090909090909,0.125,0.0840858579800866,1.7126961840668964,-0.0599276701163987,-0.00014545454545455971,1.0001471670345843
1,3,Dirty Important Feature Reversed,0.9890181818181818,0.25,0.0840858579800866,1.6397917684427188,-0.053797439778102904,-0.0006545454545454632,1.0006622516556292
1,3,Dirty Important Feature Reversed,0.9872,0.5,0.0840858579800866,1.4329759810485123,-0.03640715685123387,0.0011636363636363667,0.998822663723326
1,3,Dirty Important Feature Reversed,0.9870545454545454,0.75,0.0840858579800866,1.2232514626325655,-0.018772290780768516,0.0013090909090909264,0.9986754966887417
1,3,Dirty Important Feature Reversed,0.9876363636363636,1.0,0.0840858579800866,1.0801223807914448,-0.006737159132255852,0.0007272727272726875,0.9992641648270788
1,3,Dirty Important Feature Reversed,0.9877090909090909,2.0,0.0840858579800866,0.8887241705387074,0.009356723592698582,0.0006545454545454632,0.9993377483443708
1,3,Dirty Important Feature Reversed,0.9879272727272725,4.0,0.0840858579800866,0.8208663995393674,0.015062602487794327,0.00043636363636379016,0.999558498896247
1,3,Constant,0.9890181818181818,0.125,0.0,Infinity,-0.03901005409669832,-0.0006545454545454632,1.0006622516556292
1,3,Constant,0.9890181818181818,0.25,0.0,Infinity,-0.03901005409669832,-0.0006545454545454632,1.0006622516556292
1,3,Constant,0.9890181818181818,0.5,0.0,Infinity,-0.03901005409669832,-0.0006545454545454632,1.0006622516556292
1,3,Constant,0.9890181818181818,0.75,0.0,Infinity,-0.03901005409669832,-0.0006545454545454632,1.0006622516556292
