Trial Number,Batch Size,Feature Noised,Accuracy,Noise Std Dev,Feature Importance,Importance Ratio,Importance Difference,Accuracy Difference,Accuracy Ratio
0,1,Baseline,0.9024,0.0,0.0,1,0.0,0.0,1.0
0,1,Constant,0.9023999999999999,0.125,0.0,Infinity,-1.0,1.1102230246251565e-16,0.9999999999999999
0,1,Constant,0.9023999999999999,0.25,0.0,Infinity,-1.0,1.1102230246251565e-16,0.9999999999999999
0,1,Constant,0.9023999999999999,0.5,0.0,Infinity,-1.0,1.1102230246251565e-16,0.9999999999999999
0,1,Constant,0.9023999999999999,0.75,0.0,Infinity,-1.0,1.1102230246251565e-16,0.9999999999999999
0,1,Constant,0.9023999999999999,1.0,0.0,Infinity,-1.0,1.1102230246251565e-16,0.9999999999999999
0,1,Constant,0.9023999999999999,2.0,0.0,Infinity,-1.0,1.1102230246251565e-16,0.9999999999999999
0,1,Constant,0.9023999999999999,4.0,0.0,Infinity,-1.0,1.1102230246251565e-16,0.9999999999999999
1,1,Baseline,0.9624,0.0,0.0,1,0.0,0.0,1.0
1,1,Dirty Important Feature,0.9681199999999999,0.125,1.0,1.0,0.0,-0.005719999999999836,1.0059434746467164
1,1,Dirty Important Feature,0.9632000000000002,0.25,1.0,1.0,0.0,-0.0008000000000001339,1.000831255195345
1,1,Dirty Important Feature,0.9537599999999999,0.5,1.0,1.0,0.0,0.008640000000000092,0.9910224438902743
1,1,Dirty Important Feature,0.9424799999999998,0.75,1.0,1.0,0.0,0.01992000000000027,0.97930174563591
1,1,Dirty Important Feature,0.9286000000000001,1.0,1.0,1.0,0.0,0.03379999999999994,0.964879467996675
1,1,Dirty Important Feature,0.9040800000000001,2.0,1.0,1.0,0.0,0.05831999999999993,0.9394014962593517
1,1,Dirty Important Feature,0.8957200000000001,4.0,1.0,1.0,0.0,0.06667999999999996,0.9307148794679967
2,1,Baseline,1.0,0.0,0.0,1,0.0,0.0,1.0
2,1,Clean Important Feature w/ Lower Variance,1.0,0.125,1.0,1.0,0.0,0.0,1.0
2,1,Clean Important Feature w/ Lower Variance,1.0,0.25,1.0,1.0,0.0,0.0,1.0
2,1,Clean Important Feature w/ Lower Variance,1.0,0.5,1.0,1.0,0.0,0.0,1.0
2,1,Clean Important Feature w/ Lower Variance,0.9982399999999998,0.75,1.0,1.0,0.0,0.0017600000000002058,0.9982399999999998
2,1,Clean Important Feature w/ Lower Variance,0.9841999999999997,1.0,1.0,1.0,0.0,0.01580000000000026,0.9841999999999997
2,1,Clean Important Feature w/ Lower Variance,0.91844,2.0,1.0,1.0,0.0,0.08155999999999997,0.91844
2,1,Clean Important Feature w/ Lower Variance,0.91476,4.0,1.0,1.0,0.0,0.08523999999999998,0.91476
3,1,Baseline,1.0,0.0,0.0,1,0.0,0.0,1.0
3,1,Clean Important Feature w/ Lower Variance,1.0,0.125,1.0,1.0,0.0,0.0,1.0
3,1,Clean Important Feature w/ Lower Variance,1.0,0.25,1.0,1.0,0.0,0.0,1.0
3,1,Clean Important Feature w/ Lower Variance,1.0,0.5,1.0,1.0,0.0,0.0,1.0
3,1,Clean Important Feature w/ Lower Variance,0.9981599999999998,0.75,1.0,1.0,0.0,0.0018400000000001748,0.9981599999999998
3,1,Clean Important Feature w/ Lower Variance,0.9820399999999999,1.0,1.0,1.0,0.0,0.017960000000000087,0.9820399999999999
3,1,Clean Important Feature w/ Lower Variance,0.9043599999999999,2.0,1.0,1.0,0.0,0.09564000000000006,0.9043599999999999
3,1,Clean Important Feature w/ Lower Variance,0.8822000000000001,4.0,1.0,1.0,0.0,0.1177999999999999,0.8822000000000001
4,1,Baseline,0.9584,0.0,0.0,1,0.0,0.0,1.0
4,1,Dirty Important Feature,0.9710799999999999,0.125,1.0,1.0,0.0,-0.012679999999999914,1.0132303839732888
4,1,Dirty Important Feature,0.9636400000000002,0.25,1.0,1.0,0.0,-0.0052400000000001334,1.005467445742905
4,1,Dirty Important Feature,0.9578399999999998,0.5,1.0,1.0,0.0,0.000560000000000227,0.9994156928213687
4,1,Dirty Important Feature,0.9414000000000001,0.75,1.0,1.0,0.0,0.016999999999999904,0.9822621035058432
4,1,Dirty Important Feature,0.93148,1.0,1.0,1.0,0.0,0.026920000000000055,0.9719115191986644
4,1,Dirty Important Feature,0.90148,2.0,1.0,1.0,0.0,0.05692000000000008,0.940609348914858
4,1,Dirty Important Feature,0.8874400000000001,4.0,1.0,1.0,0.0,0.07095999999999991,0.9259599332220368
5,1,Baseline,0.8976,0.0,0.0,1,0.0,0.0,1.0
5,1,Noise,0.9008799999999999,0.125,1.0,1.0,0.0,-0.0032799999999999496,1.0036541889483066
5,1,Noise,0.9067999999999998,0.25,1.0,1.0,0.0,-0.009199999999999875,1.0102495543672012
5,1,Noise,0.89168,0.5,1.0,1.0,0.0,0.005919999999999925,0.9934046345811053
5,1,Noise,0.9067200000000002,0.75,1.0,1.0,0.0,-0.009120000000000239,1.010160427807487
5,1,Noise,0.9048000000000002,1.0,1.0,1.0,0.0,-0.007200000000000206,1.0080213903743318
5,1,Noise,0.90968,2.0,1.0,1.0,0.0,-0.01208000000000009,1.0134581105169342
5,1,Noise,0.9103200000000001,4.0,1.0,1.0,0.0,-0.012720000000000176,1.0141711229946526
6,1,Baseline,0.9536,0.0,0.0,1,0.0,0.0,1.0
6,1,Dirty Important Feature,0.9591600000000001,0.125,1.0,1.0,0.0,-0.00556000000000012,1.0058305369127518
6,1,Dirty Important Feature,0.95468,0.25,1.0,1.0,0.0,-0.0010799999999999699,1.0011325503355704
6,1,Dirty Important Feature,0.9451999999999998,0.5,1.0,1.0,0.0,0.008400000000000185,0.991191275167785
6,1,Dirty Important Feature,0.93788,0.75,1.0,1.0,0.0,0.015719999999999956,0.983515100671141
6,1,Dirty Important Feature,0.9260399999999998,1.0,1.0,1.0,0.0,0.02756000000000025,0.9710989932885904
6,1,Dirty Important Feature,0.9034399999999998,2.0,1.0,1.0,0.0,0.050160000000000204,0.9473993288590602
6,1,Dirty Important Feature,0.89832,4.0,1.0,1.0,0.0,0.055279999999999996,0.9420302013422819
7,1,Baseline,1.0,0.0,0.0,1,0.0,0.0,1.0
7,1,Clean Important Feature w/ Lower Variance,1.0,0.125,1.0,1.0,0.0,0.0,1.0
7,1,Clean Important Feature w/ Lower Variance,1.0,0.25,1.0,1.0,0.0,0.0,1.0
7,1,Clean Important Feature w/ Lower Variance,1.0,0.5,1.0,1.0,0.0,0.0,1.0
7,1,Clean Important Feature w/ Lower Variance,0.9982399999999998,0.75,1.0,1.0,0.0,0.0017600000000002058,0.9982399999999998
7,1,Clean Important Feature w/ Lower Variance,0.9841999999999997,1.0,1.0,1.0,0.0,0.01580000000000026,0.9841999999999997
7,1,Clean Important Feature w/ Lower Variance,0.91844,2.0,1.0,1.0,0.0,0.08155999999999997,0.91844
7,1,Clean Important Feature w/ Lower Variance,0.91476,4.0,1.0,1.0,0.0,0.08523999999999998,0.91476
8,1,Baseline,0.904,0.0,0.0,1,0.0,0.0,1.0
8,1,Constant,0.9040000000000001,0.125,0.0,Infinity,-1.0,-1.1102230246251565e-16,1.0000000000000002
8,1,Constant,0.9040000000000001,0.25,0.0,Infinity,-1.0,-1.1102230246251565e-16,1.0000000000000002
8,1,Constant,0.9040000000000001,0.5,0.0,Infinity,-1.0,-1.1102230246251565e-16,1.0000000000000002
8,1,Constant,0.9040000000000001,0.75,0.0,Infinity,-1.0,-1.1102230246251565e-16,1.0000000000000002
8,1,Constant,0.9040000000000001,1.0,0.0,Infinity,-1.0,-1.1102230246251565e-16,1.0000000000000002
8,1,Constant,0.9040000000000001,2.0,0.0,Infinity,-1.0,-1.1102230246251565e-16,1.0000000000000002
8,1,Constant,0.9040000000000001,4.0,0.0,Infinity,-1.0,-1.1102230246251565e-16,1.0000000000000002
9,1,Baseline,0.8864,0.0,0.0,1,0.0,0.0,1.0
9,1,Dirty Important Feature Reversed,0.8734399999999999,0.125,1.0,1.0,0.0,0.012960000000000083,0.9853790613718411
9,1,Dirty Important Feature Reversed,0.8744,0.25,1.0,1.0,0.0,0.01200000000000001,0.9864620938628159
9,1,Dirty Important Feature Reversed,0.88052,0.5,1.0,1.0,0.0,0.005879999999999996,0.9933664259927798
9,1,Dirty Important Feature Reversed,0.8786400000000002,0.75,1.0,1.0,0.0,0.007759999999999767,0.9912454873646211
