Trial Number,Batch Size,Feature Noised,Accuracy,Noise Std Dev,Feature Importance,Importance Ratio,Importance Difference,Accuracy Difference,Accuracy Ratio
0,1,Baseline,0.9072,0.0,0.0,1,0.0,0.0,1.0
0,1,Constant,0.9071999999999998,0.125,0.0,Infinity,-1.0,2.220446049250313e-16,0.9999999999999998
0,1,Constant,0.9071999999999998,0.25,0.0,Infinity,-1.0,2.220446049250313e-16,0.9999999999999998
0,1,Constant,0.9071999999999998,0.5,0.0,Infinity,-1.0,2.220446049250313e-16,0.9999999999999998
0,1,Constant,0.9071999999999998,0.75,0.0,Infinity,-1.0,2.220446049250313e-16,0.9999999999999998
0,1,Constant,0.9071999999999998,1.0,0.0,Infinity,-1.0,2.220446049250313e-16,0.9999999999999998
0,1,Constant,0.9071999999999998,1.5,0.0,Infinity,-1.0,2.220446049250313e-16,0.9999999999999998
0,1,Constant,0.9071999999999998,2.0,0.0,Infinity,-1.0,2.220446049250313e-16,0.9999999999999998
0,1,Constant,0.9071999999999998,3.0,0.0,Infinity,-1.0,2.220446049250313e-16,0.9999999999999998
0,1,Constant,0.9071999999999998,4.0,0.0,Infinity,-1.0,2.220446049250313e-16,0.9999999999999998
1,1,Baseline,0.8904,0.0,0.0,1,0.0,0.0,1.0
1,1,Noise,0.8981199999999999,0.125,1.0,1.0,0.0,-0.007719999999999949,1.008670260557053
1,1,Noise,0.8971199999999999,0.25,1.0,1.0,0.0,-0.006719999999999948,1.0075471698113208
1,1,Noise,0.8976000000000001,0.5,1.0,1.0,0.0,-0.007200000000000095,1.0080862533692723
1,1,Noise,0.8982000000000001,0.75,1.0,1.0,0.0,-0.00780000000000014,1.0087601078167117
1,1,Noise,0.89848,1.0,1.0,1.0,0.0,-0.008079999999999976,1.0090745732255166
1,1,Noise,0.8996000000000002,1.5,1.0,1.0,0.0,-0.009200000000000208,1.010332434860737
1,1,Noise,0.89976,2.0,1.0,1.0,0.0,-0.009360000000000035,1.0105121293800539
1,1,Noise,0.8998800000000001,3.0,1.0,1.0,0.0,-0.009480000000000155,1.010646900269542
1,1,Noise,0.89944,4.0,1.0,1.0,0.0,-0.009040000000000048,1.0101527403414197
2,1,Baseline,0.93,0.0,0.0,1,0.0,0.0,1.0
2,1,Dirty Important Feature,0.9253600000000001,0.125,1.0,1.0,0.0,0.0046399999999999775,0.9950107526881721
2,1,Dirty Important Feature,0.9272400000000001,0.25,1.0,1.0,0.0,0.0027599999999999847,0.9970322580645161
2,1,Dirty Important Feature,0.9277200000000001,0.5,1.0,1.0,0.0,0.0022799999999999487,0.9975483870967743
2,1,Dirty Important Feature,0.9256800000000001,0.75,1.0,1.0,0.0,0.0043199999999999905,0.9953548387096774
2,1,Dirty Important Feature,0.91892,1.0,1.0,1.0,0.0,0.01108000000000009,0.9880860215053763
2,1,Dirty Important Feature,0.9134,1.5,1.0,1.0,0.0,0.01660000000000006,0.9821505376344085
