Trial Number,Batch Size,Feature Noised,Accuracy,Noise Std Dev,Feature Importance,Importance Ratio,Importance Difference,Accuracy Difference,Accuracy Ratio
0,1,Baseline,0.9024,0.0,0.0,1,0.0,0.0,1.0
0,1,Constant,0.9023999999999999,0.125,0.0,Infinity,-1.0,1.1102230246251565e-16,0.9999999999999999
0,1,Constant,0.9023999999999999,0.25,0.0,Infinity,-1.0,1.1102230246251565e-16,0.9999999999999999
0,1,Constant,0.9023999999999999,0.5,0.0,Infinity,-1.0,1.1102230246251565e-16,0.9999999999999999
0,1,Constant,0.9023999999999999,0.75,0.0,Infinity,-1.0,1.1102230246251565e-16,0.9999999999999999
0,1,Constant,0.9023999999999999,1.0,0.0,Infinity,-1.0,1.1102230246251565e-16,0.9999999999999999
0,1,Constant,0.9023999999999999,2.0,0.0,Infinity,-1.0,1.1102230246251565e-16,0.9999999999999999
0,1,Constant,0.9023999999999999,4.0,0.0,Infinity,-1.0,1.1102230246251565e-16,0.9999999999999999
1,1,Baseline,0.9368,0.0,0.0,1,0.0,0.0,1.0
1,1,Dirty Important Feature,0.94356,0.125,1.0,1.0,0.0,-0.006759999999999988,1.0072160546541418
1,1,Dirty Important Feature,0.9504399999999998,0.25,1.0,1.0,0.0,-0.013639999999999874,1.0145602049530316
1,1,Dirty Important Feature,0.945,0.5,1.0,1.0,0.0,-0.008199999999999985,1.0087532023911188
1,1,Dirty Important Feature,0.93072,0.75,1.0,1.0,0.0,0.006079999999999974,0.9935098206660974
1,1,Dirty Important Feature,0.92576,1.0,1.0,1.0,0.0,0.011039999999999939,0.9882152006831768
1,1,Dirty Important Feature,0.8995200000000002,2.0,1.0,1.0,0.0,0.03727999999999976,0.9602049530315971
1,1,Dirty Important Feature,0.8928799999999999,4.0,1.0,1.0,0.0,0.04392000000000007,0.9531169940222032
2,1,Baseline,1.0,0.0,0.0,1,0.0,0.0,1.0
2,1,Clean Important Feature w/ Lower Variance,1.0,0.125,1.0,1.0,0.0,0.0,1.0
2,1,Clean Important Feature w/ Lower Variance,1.0,0.25,1.0,1.0,0.0,0.0,1.0
2,1,Clean Important Feature w/ Lower Variance,1.0,0.5,1.0,1.0,0.0,0.0,1.0
2,1,Clean Important Feature w/ Lower Variance,0.9982399999999998,0.75,1.0,1.0,0.0,0.0017600000000002058,0.9982399999999998
2,1,Clean Important Feature w/ Lower Variance,0.9841999999999997,1.0,1.0,1.0,0.0,0.01580000000000026,0.9841999999999997
2,1,Clean Important Feature w/ Lower Variance,0.91844,2.0,1.0,1.0,0.0,0.08155999999999997,0.91844
2,1,Clean Important Feature w/ Lower Variance,0.91476,4.0,1.0,1.0,0.0,0.08523999999999998,0.91476
3,1,Baseline,1.0,0.0,0.0,1,0.0,0.0,1.0
3,1,Clean Important Feature w/ Lower Variance,1.0,0.125,1.0,1.0,0.0,0.0,1.0
3,1,Clean Important Feature w/ Lower Variance,1.0,0.25,1.0,1.0,0.0,0.0,1.0
3,1,Clean Important Feature w/ Lower Variance,1.0,0.5,1.0,1.0,0.0,0.0,1.0
3,1,Clean Important Feature w/ Lower Variance,0.9981599999999998,0.75,1.0,1.0,0.0,0.0018400000000001748,0.9981599999999998
3,1,Clean Important Feature w/ Lower Variance,0.9820399999999999,1.0,1.0,1.0,0.0,0.017960000000000087,0.9820399999999999
3,1,Clean Important Feature w/ Lower Variance,0.9043599999999999,2.0,1.0,1.0,0.0,0.09564000000000006,0.9043599999999999
3,1,Clean Important Feature w/ Lower Variance,0.8822000000000001,4.0,1.0,1.0,0.0,0.1177999999999999,0.8822000000000001
4,1,Baseline,0.9376,0.0,0.0,1,0.0,0.0,1.0
4,1,Dirty Important Feature,0.9396000000000001,0.125,1.0,1.0,0.0,-0.002000000000000113,1.002133105802048
4,1,Dirty Important Feature,0.9289999999999999,0.25,1.0,1.0,0.0,0.008600000000000052,0.9908276450511945
4,1,Dirty Important Feature,0.93732,0.5,1.0,1.0,0.0,0.00027999999999994696,0.9997013651877134
4,1,Dirty Important Feature,0.9328799999999999,0.75,1.0,1.0,0.0,0.0047200000000000575,0.9949658703071672
4,1,Dirty Important Feature,0.9223199999999998,1.0,1.0,1.0,0.0,0.015280000000000182,0.9837030716723547
4,1,Dirty Important Feature,0.8930799999999998,2.0,1.0,1.0,0.0,0.044520000000000226,0.9525170648464162
4,1,Dirty Important Feature,0.8850800000000001,4.0,1.0,1.0,0.0,0.0525199999999999,0.9439846416382254
5,1,Baseline,0.8976,0.0,0.0,1,0.0,0.0,1.0
5,1,Noise,0.9008799999999999,0.125,1.0,1.0,0.0,-0.0032799999999999496,1.0036541889483066
5,1,Noise,0.9067999999999998,0.25,1.0,1.0,0.0,-0.009199999999999875,1.0102495543672012
5,1,Noise,0.89168,0.5,1.0,1.0,0.0,0.005919999999999925,0.9934046345811053
5,1,Noise,0.9067200000000002,0.75,1.0,1.0,0.0,-0.009120000000000239,1.010160427807487
5,1,Noise,0.9048000000000002,1.0,1.0,1.0,0.0,-0.007200000000000206,1.0080213903743318
5,1,Noise,0.90968,2.0,1.0,1.0,0.0,-0.01208000000000009,1.0134581105169342
5,1,Noise,0.9103200000000001,4.0,1.0,1.0,0.0,-0.012720000000000176,1.0141711229946526
6,1,Baseline,0.9376,0.0,0.0,1,0.0,0.0,1.0
6,1,Dirty Important Feature,0.9388400000000001,0.125,1.0,1.0,0.0,-0.0012400000000001299,1.0013225255972698
6,1,Dirty Important Feature,0.9396799999999997,0.25,1.0,1.0,0.0,-0.0020799999999997487,1.0022184300341295
6,1,Dirty Important Feature,0.9332800000000001,0.5,1.0,1.0,0.0,0.0043199999999998795,0.9953924914675769
6,1,Dirty Important Feature,0.9234,0.75,1.0,1.0,0.0,0.01419999999999999,0.9848549488054608
6,1,Dirty Important Feature,0.91844,1.0,1.0,1.0,0.0,0.019159999999999955,0.9795648464163823
6,1,Dirty Important Feature,0.9020800000000001,2.0,1.0,1.0,0.0,0.035519999999999885,0.9621160409556315
6,1,Dirty Important Feature,0.89824,4.0,1.0,1.0,0.0,0.03935999999999995,0.9580204778156997
7,1,Baseline,1.0,0.0,0.0,1,0.0,0.0,1.0
7,1,Clean Important Feature w/ Lower Variance,1.0,0.125,1.0,1.0,0.0,0.0,1.0
7,1,Clean Important Feature w/ Lower Variance,1.0,0.25,1.0,1.0,0.0,0.0,1.0
7,1,Clean Important Feature w/ Lower Variance,1.0,0.5,1.0,1.0,0.0,0.0,1.0
7,1,Clean Important Feature w/ Lower Variance,0.9982399999999998,0.75,1.0,1.0,0.0,0.0017600000000002058,0.9982399999999998
7,1,Clean Important Feature w/ Lower Variance,0.9841999999999997,1.0,1.0,1.0,0.0,0.01580000000000026,0.9841999999999997
7,1,Clean Important Feature w/ Lower Variance,0.91844,2.0,1.0,1.0,0.0,0.08155999999999997,0.91844
7,1,Clean Important Feature w/ Lower Variance,0.91476,4.0,1.0,1.0,0.0,0.08523999999999998,0.91476
8,1,Baseline,0.904,0.0,0.0,1,0.0,0.0,1.0
8,1,Constant,0.9040000000000001,0.125,0.0,Infinity,-1.0,-1.1102230246251565e-16,1.0000000000000002
8,1,Constant,0.9040000000000001,0.25,0.0,Infinity,-1.0,-1.1102230246251565e-16,1.0000000000000002
8,1,Constant,0.9040000000000001,0.5,0.0,Infinity,-1.0,-1.1102230246251565e-16,1.0000000000000002
8,1,Constant,0.9040000000000001,0.75,0.0,Infinity,-1.0,-1.1102230246251565e-16,1.0000000000000002
8,1,Constant,0.9040000000000001,1.0,0.0,Infinity,-1.0,-1.1102230246251565e-16,1.0000000000000002
8,1,Constant,0.9040000000000001,2.0,0.0,Infinity,-1.0,-1.1102230246251565e-16,1.0000000000000002
8,1,Constant,0.9040000000000001,4.0,0.0,Infinity,-1.0,-1.1102230246251565e-16,1.0000000000000002
9,1,Baseline,0.868,0.0,0.0,1,0.0,0.0,1.0
9,1,Dirty Important Feature Reversed,0.8702400000000001,0.125,1.0,1.0,0.0,-0.0022400000000001308,1.0025806451612904
9,1,Dirty Important Feature Reversed,0.8726799999999999,0.25,1.0,1.0,0.0,-0.0046799999999999065,1.0053917050691243
9,1,Dirty Important Feature Reversed,0.88088,0.5,1.0,1.0,0.0,-0.012880000000000003,1.0148387096774194
9,1,Dirty Important Feature Reversed,0.8803600000000001,0.75,1.0,1.0,0.0,-0.012360000000000149,1.0142396313364057
