Trial Number/Type,Label Noise Prob,Accuracy,Flip Count
1,0.3,0.704,1148.0
2,0.3,0.6672,1160.0
3,0.3,0.6896,1118.0
4,0.3,0.7184,1111.0
Average,0.3,0.7017599999999999,1132.2
0,0.31,0.7256,1172.0
1,0.31,0.6944,1189.0
2,0.31,0.6816,1214.0
3,0.31,0.7032,1158.0
4,0.31,0.7152,1150.0
Average,0.31,0.704,1176.6
0,0.32,0.7368,1217.0
1,0.32,0.6976,1224.0
2,0.32,0.6648,1253.0
3,0.32,0.6976,1198.0
4,0.32,0.7128,1180.0
Average,0.32,0.7019200000000001,1214.4
0,0.33,0.7264,1248.0
1,0.33,0.7032,1260.0
2,0.33,0.6696,1285.0
3,0.33,0.6872,1229.0
4,0.33,0.7096,1221.0
Average,0.33,0.6992,1248.6
0,0.34,0.7256,1297.0
1,0.34,0.692,1293.0
2,0.34,0.6816,1319.0
3,0.34,0.6808,1279.0
4,0.34,0.704,1255.0
Average,0.34,0.6968,1288.6
0,0.35000000000000003,0.7104,1332.0
1,0.35000000000000003,0.6872,1339.0
2,0.35000000000000003,0.6736,1360.0
3,0.35000000000000003,0.6896,1310.0
4,0.35000000000000003,0.696,1287.0
Average,0.35000000000000003,0.6913600000000001,1325.6
0,0.36,0.7008,1368.0
1,0.36,0.6888,1389.0
2,0.36,0.6656,1401.0
3,0.36,0.6888,1344.0
4,0.36,0.7008,1313.0
Average,0.36,0.68896,1363.0
0,0.37,0.7208,1406.0
1,0.37,0.688,1431.0
2,0.37,0.6664,1441.0
3,0.37,0.6704,1381.0
4,0.37,0.696,1340.0
Average,0.37,0.6883199999999998,1399.8
0,0.38,0.6992,1444.0
1,0.38,0.6768,1460.0
2,0.38,0.6592,1474.0
3,0.38,0.6864,1419.0
4,0.38,0.6832,1375.0
Average,0.38,0.68096,1434.4
0,0.39,0.7096,1480.0
1,0.39,0.6672,1502.0
2,0.39,0.6488,1507.0
3,0.39,0.6728,1457.0
4,0.39,0.6832,1409.0
Average,0.39,0.6763199999999999,1471.0
0,0.4,0.7032,1506.0
1,0.4,0.6728,1536.0
2,0.4,0.6552,1539.0
3,0.4,0.6592,1495.0
4,0.4,0.6912,1452.0
Average,0.4,0.6763200000000001,1505.6
0,0.41000000000000003,0.6992,1550.0
1,0.41000000000000003,0.6744,1571.0
2,0.41000000000000003,0.648,1573.0
3,0.41000000000000003,0.6576,1531.0
4,0.41000000000000003,0.6952,1488.0
Average,0.41000000000000003,0.6748800000000001,1542.6
0,0.42,0.6968,1583.0
1,0.42,0.6592,1609.0
2,0.42,0.6472,1602.0
3,0.42,0.6608,1569.0
4,0.42,0.6792,1534.0
Average,0.42,0.6686399999999999,1579.4
0,0.43,0.6744,1620.0
1,0.43,0.676,1649.0
2,0.43,0.6472,1639.0
3,0.43,0.6544,1604.0
4,0.43,0.6768,1569.0
Average,0.43,0.66576,1616.2
0,0.44,0.6848,1662.0
1,0.44,0.6672,1690.0
2,0.44,0.6408,1678.0
3,0.44,0.6424,1650.0
4,0.44,0.6648,1615.0
Average,0.44,0.6599999999999999,1659.0
0,0.45,0.6704,1709.0
1,0.45,0.648,1742.0
2,0.45,0.6336,1717.0
3,0.45,0.6352,1680.0
4,0.45,0.6536,1646.0
Average,0.45,0.6481600000000001,1698.8
0,0.46,0.6792,1736.0
1,0.46,0.6392,1769.0
2,0.46,0.6184,1764.0
3,0.46,0.6272,1715.0
4,0.46,0.6576,1686.0
Average,0.46,0.64432,1734.0
0,0.47000000000000003,0.6504,1768.0
1,0.47000000000000003,0.648,1803.0
2,0.47000000000000003,0.624,1795.0
3,0.47000000000000003,0.6368,1753.0
4,0.47000000000000003,0.6688,1728.0
Average,0.47000000000000003,0.6456000000000001,1769.4
0,0.48,0.644,1808.0
1,0.48,0.6456,1848.0
2,0.48,0.6168,1832.0
3,0.48,0.6344,1787.0
4,0.48,0.6504,1774.0
Average,0.48,0.6382399999999999,1809.8
0,0.49,0.6624,1839.0
1,0.49,0.6256,1878.0
2,0.49,0.6192,1871.0
