Batch Number,Batch Size,Feature Noised,Accuracy,Noise Std Dev,Initial Perm Importance Mean,Initial Perm Importance Std Dev,RF Feature Importance,Importance Ratio,Importance Difference,Accuracy Ratio
Baseline,5,N/A,0.976,0.0,0.0,0.0,1.0,0,0.0,1.0
0,5,Higher Variance Majority 1,0.9715199999999999,0.25,0.010623999999999984,0.0028578705359060654,0.10449151852398986,0.36279306480653367,0.06658272027238289,0.9954098360655738
0,5,Higher Variance Majority 1,0.9705599999999999,0.5,0.010623999999999984,0.0028578705359060654,0.10449151852398986,0.23875562994123486,0.07954358019527845,0.9944262295081966
0,5,Higher Variance Majority 1,0.9705599999999999,1.0,0.010623999999999984,0.0028578705359060654,0.10449151852398986,0.12190391196790085,0.09175359364844912,0.9944262295081966
0,5,Higher Variance Majority 1,0.96944,2.0,0.010623999999999984,0.0028578705359060654,0.10449151852398986,0.09293755856582907,0.09478033190153413,0.9932786885245901
0,5,Higher Variance Minority 2,0.9681599999999999,0.25,0.04995199999999999,0.004898091056728126,0.4188416289500633,1.2175850121739662,-0.09113366093406333,0.991967213114754
0,5,Higher Variance Minority 2,0.9678400000000001,0.5,0.04995199999999999,0.004898091056728126,0.4188416289500633,1.1068603697573056,-0.04475757133935593,0.9916393442622953
0,5,Higher Variance Minority 2,0.9632,1.0,0.04995199999999999,0.004898091056728126,0.4188416289500633,0.7042612262884224,0.12386770972505134,0.9868852459016393
0,5,Higher Variance Minority 2,0.9512,2.0,0.04995199999999999,0.004898091056728126,0.4188416289500633,0.22223527216087668,0.32576024554804106,0.9745901639344263
0,5,0.25 Std. Dev. Noise,0.9702400000000001,0.25,0.00019199999999999217,0.0005199384578966804,0.005539343026566913,1.1178801478764717,-0.0006529785751102106,0.9940983606557379
0,5,0.25 Std. Dev. Noise,0.97008,0.5,0.00019199999999999217,0.0005199384578966804,0.005539343026566913,0.9003765795449034,0.0005518482993806832,0.9939344262295082
0,5,0.25 Std. Dev. Noise,0.97072,1.0,0.00019199999999999217,0.0005199384578966804,0.005539343026566913,0.9209605740386992,0.00043782649302258336,0.9945901639344262
0,5,0.25 Std. Dev. Noise,0.97072,2.0,0.00019199999999999217,0.0005199384578966804,0.005539343026566913,1.0182114198550087,-0.0001008793015777245,0.9945901639344262
0,5,Higher Variance Majority 2,0.96912,0.25,0.039711999999999976,0.00588913032628758,0.16079516047336953,0.4337211924991323,0.09105489172477035,0.9929508196721312
0,5,Higher Variance Majority 2,0.97104,0.5,0.039711999999999976,0.00588913032628758,0.16079516047336953,0.30818595774729257,0.11124034994175454,0.9949180327868853
0,5,Higher Variance Majority 2,0.9692800000000001,1.0,0.039711999999999976,0.00588913032628758,0.16079516047336953,0.1573140035094555,0.13549983003435842,0.9931147540983608
0,5,Higher Variance Majority 2,0.9663999999999998,2.0,0.039711999999999976,0.00588913032628758,0.16079516047336953,0.08300757073370861,0.14744794481673829,0.9901639344262293
0,5,Higher Variance Minority 1,0.9684799999999999,0.25,0.028767999999999985,0.0047945569138346834,0.31033234902601037,0.9965791740779735,0.0010615929439915517,0.992295081967213
0,5,Higher Variance Minority 1,0.9654400000000001,0.5,0.028767999999999985,0.0047945569138346834,0.31033234902601037,0.8512493155568631,0.046162149322465484,0.9891803278688526
0,5,Higher Variance Minority 1,0.9646399999999999,1.0,0.028767999999999985,0.0047945569138346834,0.31033234902601037,0.4804619863166107,0.16122945219467372,0.9883606557377049
0,5,Higher Variance Minority 1,0.9569600000000001,2.0,0.028767999999999985,0.0047945569138346834,0.31033234902601037,0.16557265592536394,0.2589497977782168,0.9804918032786887
Baseline,5,N/A,0.9568,0.0,0.0,0.0,1.0,0,0.0,1.0
1,5,Higher Variance Minority 1,0.9574399999999998,0.25,0.06831999999999999,0.005211679191968737,0.6070704456910934,0.7988473306335239,0.12211384064425979,1.0006688963210701
1,5,Higher Variance Minority 1,0.9555200000000001,0.5,0.06831999999999999,0.005211679191968737,0.6070704456910934,0.6886647815054708,0.18900240985080774,0.9986622073578597
1,5,Higher Variance Minority 1,0.9459199999999999,1.0,0.06831999999999999,0.005211679191968737,0.6070704456910934,0.48117514468875494,0.31496323614941457,0.9886287625418059
1,5,Higher Variance Minority 1,0.93344,2.0,0.06831999999999999,0.005211679191968737,0.6070704456910934,0.20184390606550698,0.48453697567587484,0.9755852842809365
1,5,0.50 Std. Dev. Noise,0.95808,0.25,-0.0005120000000000191,0.0010823382096184194,0.01956954519024928,0.7642589714768668,0.004613344710879298,1.0013377926421405
1,5,0.50 Std. Dev. Noise,0.95856,0.5,-0.0005120000000000191,0.0010823382096184194,0.01956954519024928,0.6559951713189863,0.006732018040537059,1.0018394648829432
1,5,0.50 Std. Dev. Noise,0.9577599999999998,1.0,-0.0005120000000000191,0.0010823382096184194,0.01956954519024928,0.7338313821486018,0.005208798795269129,1.001003344481605
1,5,0.50 Std. Dev. Noise,0.9575999999999999,2.0,-0.0005120000000000191,0.0010823382096184194,0.01956954519024928,0.7735045931153163,0.004432412100413716,1.0008361204013376
1,5,Higher Variance Minority 3,0.95808,0.25,0.02470399999999998,0.0032025589768183774,0.31358282424978606,1.1295619361239693,-0.040628397845024644,1.0013377926421405
1,5,Higher Variance Minority 3,0.95408,0.5,0.02470399999999998,0.0032025589768183774,0.31358282424978606,0.985439128936146,0.004566039071740302,0.9971571906354516
1,5,Higher Variance Minority 3,0.9494400000000001,1.0,0.02470399999999998,0.0032025589768183774,0.31358282424978606,0.6189322338065801,0.11949630635348976,0.9923076923076923
