Trial Number,Batch Size,Feature Noised,Accuracy,Noise Std Dev,Feature Importance,Importance Ratio,Importance Difference,Accuracy Difference,Accuracy Ratio
0,1,Baseline,0.9024,0.0,0.0,1,0.0,0.0,1.0
0,1,Constant,0.9023999999999999,0.125,0.0,Infinity,-1.0,1.1102230246251565e-16,0.9999999999999999
0,1,Constant,0.9023999999999999,0.25,0.0,Infinity,-1.0,1.1102230246251565e-16,0.9999999999999999
0,1,Constant,0.9023999999999999,0.5,0.0,Infinity,-1.0,1.1102230246251565e-16,0.9999999999999999
0,1,Constant,0.9023999999999999,0.75,0.0,Infinity,-1.0,1.1102230246251565e-16,0.9999999999999999
0,1,Constant,0.9023999999999999,1.0,0.0,Infinity,-1.0,1.1102230246251565e-16,0.9999999999999999
0,1,Constant,0.9023999999999999,2.0,0.0,Infinity,-1.0,1.1102230246251565e-16,0.9999999999999999
0,1,Constant,0.9023999999999999,4.0,0.0,Infinity,-1.0,1.1102230246251565e-16,0.9999999999999999
1,1,Baseline,0.936,0.0,0.0,1,0.0,0.0,1.0
1,1,Dirty Important Feature,0.94252,0.125,1.0,1.0,0.0,-0.00651999999999997,1.006965811965812
1,1,Dirty Important Feature,0.9499600000000001,0.25,1.0,1.0,0.0,-0.013960000000000083,1.01491452991453
1,1,Dirty Important Feature,0.9430799999999999,0.5,1.0,1.0,0.0,-0.007079999999999864,1.0075641025641024
1,1,Dirty Important Feature,0.9332800000000001,0.75,1.0,1.0,0.0,0.0027199999999999447,0.9970940170940171
1,1,Dirty Important Feature,0.9202400000000001,1.0,1.0,1.0,0.0,0.015759999999999996,0.9831623931623932
1,1,Dirty Important Feature,0.90112,2.0,1.0,1.0,0.0,0.03488000000000002,0.9627350427350427
1,1,Dirty Important Feature,0.89388,4.0,1.0,1.0,0.0,0.042120000000000046,0.955
2,1,Baseline,0.9056,0.0,0.0,1,0.0,0.0,1.0
2,1,Clean Important Feature w/ Lower Variance,0.90492,0.125,1.0,1.0,0.0,0.0006800000000000139,0.9992491166077738
2,1,Clean Important Feature w/ Lower Variance,0.9007599999999998,0.25,1.0,1.0,0.0,0.0048400000000001775,0.9946554770318019
2,1,Clean Important Feature w/ Lower Variance,0.9054800000000001,0.5,1.0,1.0,0.0,0.00011999999999989797,0.9998674911660779
2,1,Clean Important Feature w/ Lower Variance,0.913,0.75,1.0,1.0,0.0,-0.007400000000000073,1.0081713780918728
2,1,Clean Important Feature w/ Lower Variance,0.914,1.0,1.0,1.0,0.0,-0.008400000000000074,1.0092756183745584
2,1,Clean Important Feature w/ Lower Variance,0.9055199999999999,2.0,1.0,1.0,0.0,8.000000000008001e-05,0.999911660777385
2,1,Clean Important Feature w/ Lower Variance,0.9083599999999998,4.0,1.0,1.0,0.0,-0.0027599999999998737,1.0030477031802119
3,1,Baseline,0.9112,0.0,0.0,1,0.0,0.0,1.0
3,1,Clean Important Feature w/ Lower Variance,0.89788,0.125,1.0,1.0,0.0,0.013319999999999999,0.9853819139596137
3,1,Clean Important Feature w/ Lower Variance,0.9055200000000001,0.25,1.0,1.0,0.0,0.005679999999999907,0.9937664618086042
3,1,Clean Important Feature w/ Lower Variance,0.9049999999999999,0.5,1.0,1.0,0.0,0.006200000000000094,0.9931957857769973
3,1,Clean Important Feature w/ Lower Variance,0.8870399999999998,0.75,1.0,1.0,0.0,0.02416000000000018,0.9734855136084283
3,1,Clean Important Feature w/ Lower Variance,0.8949199999999997,1.0,1.0,1.0,0.0,0.016280000000000294,0.982133450395083
3,1,Clean Important Feature w/ Lower Variance,0.8842399999999999,2.0,1.0,1.0,0.0,0.026960000000000095,0.9704126426690078
3,1,Clean Important Feature w/ Lower Variance,0.8859999999999999,4.0,1.0,1.0,0.0,0.02520000000000011,0.972344161545215
4,1,Baseline,0.9296,0.0,0.0,1,0.0,0.0,1.0
4,1,Dirty Important Feature,0.9414400000000003,0.125,1.0,1.0,0.0,-0.011840000000000295,1.0127366609294324
4,1,Dirty Important Feature,0.9397599999999999,0.25,1.0,1.0,0.0,-0.010159999999999947,1.0109294320137694
4,1,Dirty Important Feature,0.9378400000000001,0.5,1.0,1.0,0.0,-0.008240000000000136,1.0088640275387264
4,1,Dirty Important Feature,0.9235199999999999,0.75,1.0,1.0,0.0,0.006080000000000085,0.993459552495697
4,1,Dirty Important Feature,0.9158000000000002,1.0,1.0,1.0,0.0,0.013799999999999812,0.9851549053356284
4,1,Dirty Important Feature,0.8921599999999998,2.0,1.0,1.0,0.0,0.03744000000000014,0.9597246127366608
4,1,Dirty Important Feature,0.8858000000000003,4.0,1.0,1.0,0.0,0.04379999999999973,0.9528829604130812
5,1,Baseline,0.8976,0.0,0.0,1,0.0,0.0,1.0
5,1,Noise,0.9008799999999999,0.125,1.0,1.0,0.0,-0.0032799999999999496,1.0036541889483066
5,1,Noise,0.9067999999999998,0.25,1.0,1.0,0.0,-0.009199999999999875,1.0102495543672012
5,1,Noise,0.89168,0.5,1.0,1.0,0.0,0.005919999999999925,0.9934046345811053
5,1,Noise,0.9067200000000002,0.75,1.0,1.0,0.0,-0.009120000000000239,1.010160427807487
5,1,Noise,0.9048000000000002,1.0,1.0,1.0,0.0,-0.007200000000000206,1.0080213903743318
5,1,Noise,0.90968,2.0,1.0,1.0,0.0,-0.01208000000000009,1.0134581105169342
5,1,Noise,0.9103200000000001,4.0,1.0,1.0,0.0,-0.012720000000000176,1.0141711229946526
6,1,Baseline,0.9296,0.0,0.0,1,0.0,0.0,1.0
6,1,Dirty Important Feature,0.9344400000000004,0.125,1.0,1.0,0.0,-0.0048400000000003995,1.0052065404475048
6,1,Dirty Important Feature,0.9329600000000001,0.25,1.0,1.0,0.0,-0.0033600000000001407,1.0036144578313255
6,1,Dirty Important Feature,0.93248,0.5,1.0,1.0,0.0,-0.0028799999999999937,1.0030981067125646
6,1,Dirty Important Feature,0.9238399999999997,0.75,1.0,1.0,0.0,0.00576000000000032,0.9938037865748706
6,1,Dirty Important Feature,0.9160400000000001,1.0,1.0,1.0,0.0,0.013559999999999905,0.9854130808950087
6,1,Dirty Important Feature,0.9034800000000001,2.0,1.0,1.0,0.0,0.02611999999999992,0.9719018932874356
6,1,Dirty Important Feature,0.8955200000000001,4.0,1.0,1.0,0.0,0.03407999999999989,0.9633390705679864
7,1,Baseline,0.9056,0.0,0.0,1,0.0,0.0,1.0
7,1,Clean Important Feature w/ Lower Variance,0.90492,0.125,1.0,1.0,0.0,0.0006800000000000139,0.9992491166077738
7,1,Clean Important Feature w/ Lower Variance,0.9007599999999998,0.25,1.0,1.0,0.0,0.0048400000000001775,0.9946554770318019
7,1,Clean Important Feature w/ Lower Variance,0.9054800000000001,0.5,1.0,1.0,0.0,0.00011999999999989797,0.9998674911660779
7,1,Clean Important Feature w/ Lower Variance,0.913,0.75,1.0,1.0,0.0,-0.007400000000000073,1.0081713780918728
7,1,Clean Important Feature w/ Lower Variance,0.914,1.0,1.0,1.0,0.0,-0.008400000000000074,1.0092756183745584
7,1,Clean Important Feature w/ Lower Variance,0.9055199999999999,2.0,1.0,1.0,0.0,8.000000000008001e-05,0.999911660777385
7,1,Clean Important Feature w/ Lower Variance,0.9083599999999998,4.0,1.0,1.0,0.0,-0.0027599999999998737,1.0030477031802119
8,1,Baseline,0.904,0.0,0.0,1,0.0,0.0,1.0
8,1,Constant,0.9040000000000001,0.125,0.0,Infinity,-1.0,-1.1102230246251565e-16,1.0000000000000002
8,1,Constant,0.9040000000000001,0.25,0.0,Infinity,-1.0,-1.1102230246251565e-16,1.0000000000000002
8,1,Constant,0.9040000000000001,0.5,0.0,Infinity,-1.0,-1.1102230246251565e-16,1.0000000000000002
8,1,Constant,0.9040000000000001,0.75,0.0,Infinity,-1.0,-1.1102230246251565e-16,1.0000000000000002
8,1,Constant,0.9040000000000001,1.0,0.0,Infinity,-1.0,-1.1102230246251565e-16,1.0000000000000002
8,1,Constant,0.9040000000000001,2.0,0.0,Infinity,-1.0,-1.1102230246251565e-16,1.0000000000000002
8,1,Constant,0.9040000000000001,4.0,0.0,Infinity,-1.0,-1.1102230246251565e-16,1.0000000000000002
9,1,Baseline,0.8608,0.0,0.0,1,0.0,0.0,1.0
9,1,Dirty Important Feature Reversed,0.8613599999999998,0.125,1.0,1.0,0.0,-0.0005599999999997829,1.0006505576208176
